dataset,cases,top1,top3,top5,rank_le_50,module_applied,source_result_path,source_dataset_name,checkpoint_path,data_config_path,train_config_path
DDD,761,0.3639947437582129,0.4783180026281209,0.5177398160315374,0.7293035479632063,ddd_validation_selected_grid_rerank,D:\RareDisease-traindata\outputs\mainline_full_pipeline_hybrid_tag_v5\stage5_ddd_rerank\ddd_val_selected_grid_weights.json,DDD,D:\RareDisease-traindata\outputs\mainline_full_pipeline_hybrid_tag_v5\stage2_finetune\checkpoints\best.pt,D:\RareDisease-traindata\configs\data_llldataset_eval.yaml,D:\RareDisease-traindata\outputs\mainline_full_pipeline_hybrid_tag_v5\configs\stage2_finetune.yaml
HMS,25,0.36,0.44,0.56,0.76,hgnn_exact_baseline,D:\RareDisease-traindata\outputs\mainline_full_pipeline_hybrid_tag_v5\stage3_exact_eval\exact_details.csv,HMS,D:\RareDisease-traindata\outputs\mainline_full_pipeline_hybrid_tag_v5\stage2_finetune\checkpoints\best.pt,D:\RareDisease-traindata\configs\data_llldataset_eval.yaml,D:\RareDisease-traindata\outputs\mainline_full_pipeline_hybrid_tag_v5\configs\stage2_finetune.yaml
LIRICAL,59,0.5254237288135594,0.576271186440678,0.6271186440677966,0.847457627118644,hgnn_exact_baseline,D:\RareDisease-traindata\outputs\mainline_full_pipeline_hybrid_tag_v5\stage3_exact_eval\exact_details.csv,LIRICAL,D:\RareDisease-traindata\outputs\mainline_full_pipeline_hybrid_tag_v5\stage2_finetune\checkpoints\best.pt,D:\RareDisease-traindata\configs\data_llldataset_eval.yaml,D:\RareDisease-traindata\outputs\mainline_full_pipeline_hybrid_tag_v5\configs\stage2_finetune.yaml
MME,10,0.8,0.9,0.9,0.9,hgnn_exact_baseline,D:\RareDisease-traindata\outputs\mainline_full_pipeline_hybrid_tag_v5\stage3_exact_eval\exact_details.csv,MME,D:\RareDisease-traindata\outputs\mainline_full_pipeline_hybrid_tag_v5\stage2_finetune\checkpoints\best.pt,D:\RareDisease-traindata\configs\data_llldataset_eval.yaml,D:\RareDisease-traindata\outputs\mainline_full_pipeline_hybrid_tag_v5\configs\stage2_finetune.yaml
MyGene2,33,0.8787878787878788,0.9090909090909091,0.9090909090909091,0.9393939393939394,hgnn_exact_baseline,D:\RareDisease-traindata\outputs\mainline_full_pipeline_hybrid_tag_v5\stage3_exact_eval\exact_details.csv,MyGene2,D:\RareDisease-traindata\outputs\mainline_full_pipeline_hybrid_tag_v5\stage2_finetune\checkpoints\best.pt,D:\RareDisease-traindata\configs\data_llldataset_eval.yaml,D:\RareDisease-traindata\outputs\mainline_full_pipeline_hybrid_tag_v5\configs\stage2_finetune.yaml
RAMEDIS,217,0.783410138248848,0.8755760368663594,0.9124423963133641,0.9769585253456221,hgnn_exact_baseline,D:\RareDisease-traindata\outputs\mainline_full_pipeline_hybrid_tag_v5\stage3_exact_eval\exact_details.csv,RAMEDIS,D:\RareDisease-traindata\outputs\mainline_full_pipeline_hybrid_tag_v5\stage2_finetune\checkpoints\best.pt,D:\RareDisease-traindata\configs\data_llldataset_eval.yaml,D:\RareDisease-traindata\outputs\mainline_full_pipeline_hybrid_tag_v5\configs\stage2_finetune.yaml
mimic_test_recleaned_mondo_hpo_rows,1873,0.21783235451147892,0.34917245061398827,0.404164442071543,0.6689802455953017,similar_case_fixed_test,D:\RareDisease-traindata\outputs\mainline_full_pipeline_hybrid_tag_v5\stage6_mimic_similar_case\similar_case_fixed_test.csv,mimic_test_recleaned_mondo_hpo_rows,D:\RareDisease-traindata\outputs\mainline_full_pipeline_hybrid_tag_v5\stage2_finetune\checkpoints\best.pt,D:\RareDisease-traindata\configs\data_llldataset_eval.yaml,D:\RareDisease-traindata\outputs\mainline_full_pipeline_hybrid_tag_v5\configs\stage2_finetune.yaml
ALL,2978,0.31296171927468097,0.4338482202820685,0.4832102081934184,0.7149093351242445,mixed,mixed,ALL,D:\RareDisease-traindata\outputs\mainline_full_pipeline_hybrid_tag_v5\stage2_finetune\checkpoints\best.pt,D:\RareDisease-traindata\configs\data_llldataset_eval.yaml,D:\RareDisease-traindata\outputs\mainline_full_pipeline_hybrid_tag_v5\configs\stage2_finetune.yaml
