dataset,case_hpo_bucket,gold_hpo_bucket,ic_overlap_bucket,seen_label,overlap_zero,num_rank_gt50_cases,mean_rank,mean_case_hpo_count,mean_gold_disease_hpo_count,mean_exact_overlap,mean_ic_weighted_overlap,mean_semantic_overlap,obsolete_mondo_rate,unmapped_mondo_rate
DDD,"(10,20]","(15,30]","(0.25,0.5]",True,False,2,356.5,12.5,23.5,0.24146907373055615,0.2973980601411945,0.653930050365921,0.0,0.0
DDD,"(10,20]","(30,inf)","(0,0.05]",True,False,2,1062.5,14.0,50.5,0.05567229143756999,0.04252091883066226,0.4826096592400236,0.0,0.0
DDD,"(10,20]","(30,inf)","(0.25,0.5]",True,False,2,84.0,14.5,78.5,0.20083496367385767,0.32446045411539015,0.4837182218038512,0.0,0.0
DDD,"(10,20]","(30,inf)","(0.5,inf)",True,False,2,174.5,12.5,42.5,0.3904603693634182,0.6718615999986968,0.7852700787135359,0.0,0.0
DDD,"(10,20]","(7,15]","(0.05,0.1]",True,False,2,721.5,12.5,12.5,0.16025641025641024,0.08624052312125072,0.28095192212848086,0.0,0.0
DDD,"(10,20]","(7,15]","(0.1,0.25]",True,False,2,217.0,16.5,11.5,0.22221585265564414,0.1490135505947373,0.19016939495650503,0.0,0.0
DDD,"(20,inf)","(15,30]","(-inf,0]",False,True,2,5236.5,34.5,24.5,0.0,0.0,0.29769070900221917,0.0,0.0
DDD,"(20,inf)","(15,30]","(0.5,inf)",False,False,2,149.5,21.0,20.0,0.8553254616514878,0.7656254344981722,0.7656254344981722,0.0,0.0
DDD,"(20,inf)","(30,inf)","(0,0.05]",False,False,2,1429.5,28.5,50.0,0.05686994353864503,0.039275210053263857,0.1986781973496456,0.0,0.0
DDD,"(20,inf)","(7,15]","(0,0.05]",False,False,2,1734.0,31.5,9.5,0.0602205029607997,0.02731829575380111,0.129019306201663,0.0,0.0
DDD,"(3,5]","(15,30]","(0.5,inf)",True,False,2,546.0,4.0,24.0,0.25397937056806974,0.5592183598967517,0.766166039497512,0.0,0.0
DDD,"(3,5]","(7,15]","(0.1,0.25]",True,False,2,133.0,4.0,14.5,0.19818034339300247,0.1811330252033183,0.33103836846163687,0.0,0.0
DDD,"(3,5]","(7,15]","(0.25,0.5]",True,False,2,188.5,4.5,11.5,0.28214861759762744,0.3236757581633523,0.4298603155824776,0.0,0.0
DDD,"(5,10]","(30,inf)","(0.05,0.1]",True,False,2,7621.5,8.0,33.0,0.061878045254459474,0.062037738154480535,0.11961473453081774,0.0,0.0
DDD,"(5,10]","(30,inf)","(0.5,inf)",True,False,2,153.5,7.0,88.0,0.22525675495824066,0.727272685579167,0.8533296180071352,0.0,0.0
DDD,"(5,10]","(7,15]","(0.1,0.25]",True,False,2,258.0,7.5,9.5,0.17761256066447761,0.15088100284780992,0.3686804861862381,0.0,0.0
