feature,w_hgnn,w_exact,w_ic,w_semantic,w_pretrain,w_prior,dataset,metric_source,num_cases,top1,top3,top5,recall_at_50,median_rank,mean_rank,mrr
selected_fusion,1.0,0.2,0.1,0.0,0.0,0.0,,,,,,,,,,
hgnn_only,1.0,0.0,0.0,0.0,0.0,0.0,ALL,candidate_recall_boost,983.0,0.2268565615462869,0.335707019328586,0.3916581892166836,0.6439471007121058,,55.39653179190751,0.3058106004390341
exact_only,0.0,1.0,0.0,0.0,0.0,0.0,ALL,candidate_recall_boost,983.0,0.1312309257375381,0.1871820956256358,0.2115971515768057,0.4435401831129196,,96.04508670520232,0.1807151200162332
ic_only,0.0,0.0,1.0,0.0,0.0,0.0,ALL,candidate_recall_boost,983.0,0.1078331637843336,0.1495422177009155,0.17293997965412,0.3967446592065107,,107.57919075144508,0.1490933018981117
semantic_only,0.0,0.0,0.0,1.0,0.0,0.0,ALL,candidate_recall_boost,983.0,0.0111902339776195,0.0335707019328586,0.0579857578840284,0.3041709053916582,,129.66473988439307,0.0449585385999981
pretrain_known_only,0.0,0.0,0.0,0.0,1.0,0.0,ALL,candidate_recall_boost,983.0,0.1332655137334689,0.1871820956256358,0.2146490335707019,0.4425228891149542,,95.93179190751444,0.1820711665459682
