dataset,disease_vocabulary_size,real_disease_in_pretrain_count,real_disease_in_pretrain_ratio,real_disease_in_disease_index_count,real_disease_in_disease_index_ratio,real_disease_in_hyperedge_count,obsolete_mondo_mentions,alt_or_replaced_by_mappable_mentions,unmapped_disease_count,seen_disease_count,unseen_disease_count,seen_label_top1,seen_label_top5,unseen_label_top1,unseen_label_top5,original_disease_vocabulary_size
DDD,756,744,0.9841269841269841,756,1.0,756,1,1,0,744,12,0.3117408906882591,0.47368421052631576,0.25,0.4,756
HMS,19,7,0.3684210526315789,18,0.9473684210526315,18,0,1,1,7,12,0.5,0.5,0.3076923076923077,0.6923076923076923,19
LIRICAL,34,34,1.0,34,1.0,34,0,0,0,34,0,0.4576271186440678,0.5254237288135594,,,34
MME,4,3,0.75,4,1.0,4,0,0,0,3,1,0.7142857142857143,0.7142857142857143,1.0,1.0,4
MyGene2,13,12,0.9230769230769231,13,1.0,13,0,0,0,12,1,0.9032258064516129,0.9354838709677419,0.0,0.5,13
RAMEDIS,48,45,0.9375,48,1.0,48,0,0,0,45,3,0.7788461538461539,0.8942307692307693,0.5555555555555556,0.6666666666666666,48
mimic_test_recleaned_mondo_hpo_rows,353,343,0.9716713881019831,349,0.9886685552407932,349,57,7,4,343,10,0.15795148247978436,0.29973045822102423,0.1111111111111111,0.16666666666666666,353
pretrain_eval_split,1098,1098,1.0,1093,0.9954462659380692,1093,10,5,5,1098,0,,,,,1098
