dataset,source_kind,source_paths,source_formats,num_cases,num_rows,fields,hpo_count_mean,hpo_count_median,hpo_count_min,hpo_count_max,hpo_count_p25,hpo_count_p75,hpo_has_duplicates_case_count,hpo_deduplicated,obsolete_hpo_case_count,unmapped_hpo_case_count,disease_label_count_mean,single_label_cases,multi_label_cases,empty_hpo_cases,hpo_le_1_cases,hpo_le_2_cases,hpo_le_3_cases,hpo_ge_20_cases,hpo_ge_50_cases,top1,top3,top5,rank_le_50
DDD,real_eval,D:\RareDisease-traindata\LLLdataset\dataset\processed\test\DDD.csv,csv,761,13712,case_id;mondo_label;hpo_id,17.592641261498027,11.0,1.0,117.0,5.0,24.0,16,False,164,0,1.0210249671484888,745,16,0,20,91,133,254,57,0.31011826544021026,0.4296977660972405,0.47174770039421815,0.7529566360052562
HMS,real_eval,D:\RareDisease-traindata\LLLdataset\dataset\processed\test\HMS.xlsx,xlsx,25,530,case_id;mondo_label;hpo_id,21.2,16.0,7.0,54.0,9.0,29.0,0,True,4,0,1.0,25,0,0,0,0,0,9,2,0.4,0.44,0.6,0.84
LIRICAL,real_eval,D:\RareDisease-traindata\LLLdataset\dataset\processed\test\LIRICAL.xlsx,xlsx,59,1027,case_id;mondo_label;hpo_id,17.406779661016948,13.0,3.0,93.0,7.5,19.0,0,True,5,0,1.0,59,0,0,0,0,1,13,3,0.4576271186440678,0.5254237288135594,0.5254237288135594,0.847457627118644
MME,real_eval,D:\RareDisease-traindata\LLLdataset\dataset\processed\test\MME.xlsx,xlsx,10,115,case_id;mondo_label;hpo_id,11.5,10.0,4.0,21.0,9.0,13.75,0,True,0,0,1.0,10,0,0,0,0,0,1,0,0.8,0.8,0.8,1.0
MyGene2,real_eval,D:\RareDisease-traindata\LLLdataset\dataset\processed\test\MyGene2.xlsx,xlsx,33,297,case_id;mondo_label;hpo_id,9.0,7.0,1.0,32.0,4.0,9.0,0,True,0,0,1.0,33,0,0,1,2,6,5,0,0.8484848484848485,0.8787878787878788,0.9090909090909091,0.9090909090909091
RAMEDIS,real_eval,D:\RareDisease-traindata\LLLdataset\dataset\processed\test\RAMEDIS.xlsx,xlsx,217,2097,case_id;mondo_label;hpo_id,9.663594470046084,8.0,3.0,46.0,5.0,12.0,0,True,10,0,1.0,217,0,0,0,0,17,15,0,0.7695852534562212,0.8387096774193549,0.8847926267281107,0.9585253456221198
mimic_test_recleaned_mondo_hpo_rows,real_eval,D:\RareDisease-traindata\LLLdataset\dataset\processed\test\mimic_test_recleaned_mondo_hpo_rows.csv,csv,1873,21749,case_id;mondo_label;hpo_id,10.056059797116925,9.0,1.0,34.0,6.0,13.0,227,False,22,0,1.1313400961025093,1646,227,0,20,48,104,83,0,0.1575013347570742,0.24345969033635878,0.2984516817939135,0.5686065136145222
pretrain_eval_split,pretrain_eval,D:\RareDisease-traindata\data\processed\train_finetune_filtered\PubCaseFinder_DiseaseHyperedge.xlsx;D:\RareDisease-traindata\data\processed\train_finetune_filtered\unseen_training_unique_profiles.csv,csv;xlsx,1230,19660,case_id;mondo_label;hpo_id,15.983739837398375,8.0,2.0,188.0,6.0,18.0,0,True,4,0,1.0,1230,0,0,0,1,3,290,71,,,,
