bucket_type,bucket,total_cases,top1,top3,top5,rank_le_50,rank_gt_50_cases,gold_in_top50_but_rank_gt5_cases,median_rank,mean_rank,any_label_at_1,any_label_at_3,any_label_at_5,any_label_at_50
ALL,ALL,1873,0.18846769887880405,0.3016550987720235,0.3566470902295782,0.6187933796049119,714,491,21.0,401.02669514148425,0.20715429791777895,0.3230112119594234,0.38120662039508807,0.6540309663641217
label_subset,multi_label,227,0.12334801762114538,0.2599118942731278,0.31718061674008813,0.5066079295154186,112,43,50.0,801.3127753303964,0.2775330396475771,0.43612334801762115,0.5198237885462555,0.7973568281938326
label_subset,single_label,1646,0.19744835965978128,0.30741190765492105,0.362089914945322,0.6342648845686513,602,448,18.0,345.8232077764277,0.19744835965978128,0.30741190765492105,0.362089914945322,0.6342648845686513
hpo_count_bucket,0-1,20,0.1,0.1,0.2,0.35,13,3,204.0,1781.15,0.1,0.1,0.2,0.35
hpo_count_bucket,11-20,719,0.21001390820584145,0.33101529902642557,0.38247566063977745,0.6467315716272601,254,190,16.0,400.8970792767733,0.23226703755215578,0.35465924895688455,0.4089012517385257,0.6912378303198887
hpo_count_bucket,2-5,303,0.11551155115511551,0.20462046204620463,0.2508250825082508,0.5511551155115512,136,91,35.0,483.990099009901,0.12211221122112212,0.21122112211221122,0.2607260726072607,0.5676567656765676
hpo_count_bucket,6-10,768,0.19401041666666666,0.3190104166666667,0.3815104166666667,0.6223958333333334,290,185,19.0,330.9791666666667,0.21354166666666666,0.3424479166666667,0.4088541666666667,0.65625
hpo_count_bucket,>=21,63,0.25396825396825395,0.2857142857142857,0.31746031746031744,0.6666666666666666,21,22,21.0,419.26984126984127,0.2857142857142857,0.3333333333333333,0.36507936507936506,0.7142857142857143
overlap_zero_bucket,overlap_nonzero,1186,0.25379426644182124,0.38532883642495785,0.4494097807757167,0.6956155143338955,361,292,9.0,227.23524451939292,0.26981450252951095,0.40219224283305227,0.4688026981450253,0.7209106239460371
overlap_zero_bucket,overlap_zero,687,0.07569141193595343,0.1572052401746725,0.1965065502183406,0.4861717612809316,353,199,53.0,701.0509461426492,0.09898107714701601,0.18631732168850074,0.22998544395924309,0.5385735080058224
seen_label_bucket,seen_label,1770,0.19943502824858758,0.3192090395480226,0.376271186440678,0.6508474576271186,618,486,17.0,251.9960451977401,0.21807909604519773,0.3389830508474576,0.39943502824858756,0.6836158192090396
seen_label_bucket,unseen_label,103,0.0,0.0,0.019417475728155338,0.06796116504854369,96,5,619.0,2962.0388349514565,0.019417475728155338,0.04854368932038835,0.06796116504854369,0.14563106796116504
