method,total_cases,top1,top3,top5,rank_le_50,mean_rank,median_rank,rank_gt_50_cases,gold_in_top50_but_rank_gt5_cases,any_label_at_1,any_label_at_3,any_label_at_5,any_label_at_50
HGNN_exact_baseline,2978,0.2780389523169913,0.39590329079919406,0.4486232370718603,0.6877098723975823,329.61920752182675,9.5,,,,,,
HGNN_SimilarCase_Aug,2978,0.28710543989254533,0.41739422431161854,0.4778374748153123,0.716252518468771,2763.3310946944257,7.0,845.0,710.0,0.30087306917394224,0.4331766286098052,0.4959704499664204,0.7400940228341168
