dataset_name,source_file,method,num_cases,top1,top3,top5,rank_le_50,mean_rank,median_rank,any_label_at_1,any_label_at_3,any_label_at_5,any_label_at_50
DDD,DDD.csv,HGNN_SimilarCase_Aug,761,0.27463863337713534,0.4375821287779238,0.5019710906701709,0.7739816031537451,2227.1865965834427,5.0,0.278580814717477,0.43889618922470436,0.5032851511169514,0.7752956636005256
HMS,HMS.xlsx,HGNN_SimilarCase_Aug,25,0.28,0.48,0.56,0.76,2404.96,4.0,0.28,0.48,0.56,0.76
LIRICAL,LIRICAL.xlsx,HGNN_SimilarCase_Aug,59,0.5423728813559322,0.6779661016949152,0.711864406779661,0.864406779661017,1361.084745762712,1.0,0.5423728813559322,0.6779661016949152,0.711864406779661,0.864406779661017
MME,MME.xlsx,HGNN_SimilarCase_Aug,10,0.8,0.9,0.9,0.9,1000.9,1.0,0.8,0.9,0.9,0.9
MyGene2,MyGene2.xlsx,HGNN_SimilarCase_Aug,33,0.8787878787878788,0.9090909090909091,0.9090909090909091,0.9696969696969697,304.6060606060606,1.0,0.8787878787878788,0.9090909090909091,0.9090909090909091,0.9696969696969697
RAMEDIS,RAMEDIS.xlsx,HGNN_SimilarCase_Aug,217,0.8202764976958525,0.9262672811059908,0.9585253456221198,0.9953917050691244,48.08294930875576,1.0,0.8202764976958525,0.9262672811059908,0.9585253456221198,0.9953917050691244
mimic_test_recleaned_mondo_hpo_rows,mimic_test_recleaned_mondo_hpo_rows.csv,HGNN_SimilarCase_Aug,1873,0.20928990923651897,0.32995194874532835,0.39402028830752805,0.6497597437266418,3397.430859583556,18.0,0.22957821676454884,0.35451147891083823,0.4223171382808329,0.6871329418045916
