bucket_type,bucket,num_cases,top1,top5,rank_le_50,median_rank,mean_rank,overlap_zero_ratio,overlap_le_1_ratio,mean_exact_overlap_count,mean_ic_weighted_overlap
case_hpo_count_bucket,>10,782,0.20588235294117646,0.3631713554987212,0.6624040920716112,18.0,449.44245524296673,0.2813299232736573,0.592071611253197,1.5639386189258313,0.10145151053726037
case_hpo_count_bucket,7-10,615,0.16422764227642275,0.3544715447154472,0.6211382113821138,21.0,321.87642276422764,0.33658536585365856,0.7056910569105691,1.1544715447154472,0.1276045135875336
case_hpo_count_bucket,4-6,372,0.1639784946236559,0.3118279569892473,0.6075268817204301,23.0,393.23655913978496,0.4946236559139785,0.8279569892473119,0.7338709677419355,0.1377012228530373
case_hpo_count_bucket,1-3,104,0.09615384615384616,0.20192307692307693,0.4326923076923077,101.5,809.0480769230769,0.7307692307692307,0.9615384615384616,0.3076923076923077,0.12204293045604007
exact_hpo_overlap_count_bucket,2-3,440,0.2727272727272727,0.47954545454545455,0.75,6.0,129.925,0.0,0.0,2.3477272727272727,0.22674087534255627
exact_hpo_overlap_count_bucket,1,618,0.22006472491909385,0.3673139158576052,0.6521035598705501,18.0,334.12297734627833,0.0,1.0,1.0,0.1236887873271422
exact_hpo_overlap_count_bucket,0,687,0.06841339155749636,0.1950509461426492,0.4890829694323144,55.0,730.8005822416303,1.0,1.0,0.0,0.0
exact_hpo_overlap_count_bucket,>3,128,0.234375,0.5234375,0.796875,5.0,110.375,0.0,0.0,4.5859375,0.3556525081744547
gold_disease_hpo_count_bucket,>20,632,0.22151898734177214,0.37816455696202533,0.6360759493670886,23.0,417.8354430379747,0.16455696202531644,0.4620253164556962,1.9920886075949367,0.18452438850233877
gold_disease_hpo_count_bucket,6-20,751,0.11984021304926765,0.29027962716378164,0.5885486018641811,27.0,304.1118508655126,0.3941411451398136,0.7456724367509987,0.9720372836218375,0.09948423614249749
gold_disease_hpo_count_bucket,1-5,489,0.21063394683026584,0.3721881390593047,0.6687116564417178,14.0,573.3394683026585,0.5848670756646217,0.9243353783231084,0.50920245398773,0.06216176255365061
gold_disease_hpo_count_bucket,0,1,0.0,0.0,0.0,7020.0,7020.0,1.0,1.0,0.0,0.0
gold_in_top50_bucket,yes,1171,0.2843723313407344,0.5456874466268147,1.0,4.0,11.168232280102476,0.28693424423569597,0.6310845431255337,1.4056362083689156,0.14344267536170194
gold_in_top50_bucket,no,702,0.0,0.0,0.0,195.5,1092.2578347578349,0.5,0.8062678062678063,0.8433048433048433,0.07657806825737307
