rank_source,num_cases,top1,top3,top5,rank_le_10,rank_le_20,rank_le_50,rank_gt_50_count,rank_gt_50_ratio,gold_in_top50_but_rank_gt5_count,gold_in_top50_but_rank_gt5_ratio,gold_in_top5_but_not_top1_count,gold_in_top5_but_not_top1_ratio,median_rank,mean_rank
HGNN exact baseline,1873,0.1777896422851041,0.28830752802989856,0.3411639081687133,0.4217832354511479,0.4890549919914576,0.6252002135611319,702,0.37479978643886813,532,0.2840363053924186,306,0.16337426588360918,22.0,416.3603844100374
mainline final SimilarCase-Aug,1873,0.20928990923651897,0.34223171382808326,0.402562733582488,0.46342765616657766,0.5173518419647624,0.6556326748531767,645,0.3443673251468233,474,0.2530699412706887,362,0.19327282434596904,16.0,3200.5413774693006
