split,candidate_limit,num_cases,current_top50_recall,expanded_recall,avg_candidates_per_case,gold_recovered_beyond_top50_cases,hgnn_source_rows,mondo_expansion_rows,hpo_expansion_rows,similar_case_rows
train,50,1358,0.9698085419734904,0.9698085419734904,215.1097201767305,18,67900,28059,241937,18329
train,100,1358,0.9698085419734904,0.9771723122238586,215.1097201767305,18,67900,28059,241937,18329
train,200,1358,0.9698085419734904,0.9830633284241531,215.1097201767305,18,67900,28059,241937,18329
validation,50,164,0.7134146341463414,0.7134146341463414,216.34146341463415,20,8200,2698,30011,1953
validation,100,164,0.7134146341463414,0.7804878048780488,216.34146341463415,20,8200,2698,30011,1953
validation,200,164,0.7134146341463414,0.823170731707317,216.34146341463415,20,8200,2698,30011,1953
test,50,761,0.7437582128777924,0.7437582128777924,214.87385019710908,88,38050,16106,135637,10502
test,100,761,0.7437582128777924,0.8186596583442839,214.87385019710908,88,38050,16106,135637,10502
test,200,761,0.7437582128777924,0.8580814717477004,214.87385019710908,88,38050,16106,135637,10502
