deeprare_dataset_name,project_dataset,num_cases,rank=1_count,rank=1_rate,rank 2-3_count,rank 2-3_rate,rank 4-5_count,rank 4-5_rate,rank 6-20_count,rank 6-20_rate,rank 21-50_count,rank 21-50_rate,rank>50_count,rank>50_rate,current_rank_le_50,target_status,gap_diagnosis,notes
DDD,DDD,761,286,0.37582128777923784,92,0.12089356110381078,33,0.04336399474375821,112,0.1471747700394218,43,0.056504599211563734,195,0.25624178712220763,0.7437582128777924,far_from_target,Top5 低于 target，但 Rank<=50 仍有可恢复空间；需要 candidate recall audit 与 hard-negative reranking 结合。,
MIMIC-IV-Rare,mimic_test_recleaned_mondo_hpo_rows,1873,392,0.20928990923651897,249,0.13294180459156432,113,0.0603310197544047,215,0.11478910838227442,259,0.1382808328884143,645,0.3443673251468233,0.6556326748531767,top5_reached_only,Top5 已达标但 Top1/Top3 落后，主要瓶颈是已召回 top5/top10 候选内部排序。,
MyGene,MyGene2,33,29,0.8787878787878788,0,0.0,0,0.0,2,0.06060606060606061,1,0.030303030303030304,1,0.030303030303030304,0.9696969696969696,all_reached,DeepRare Recall@1/@3/@5 均已达标；保持 current mainline，并关注小样本方差。,high_variance
RareBench-HMS,HMS,25,8,0.32,3,0.12,1,0.04,8,0.32,2,0.08,3,0.12,0.88,far_from_target,Top5 低于 target，但 Rank<=50 仍有可恢复空间；需要 candidate recall audit 与 hard-negative reranking 结合。,high_variance
RareBench-LIRICAL,LIRICAL,59,30,0.5084745762711864,8,0.13559322033898305,2,0.03389830508474576,6,0.1016949152542373,4,0.06779661016949153,9,0.15254237288135594,0.847457627118644,far_from_target,Top5 低于 target，但 Rank<=50 仍有可恢复空间；需要 candidate recall audit 与 hard-negative reranking 结合。,high_variance
RareBench-MME,MME,10,9,0.9,0,0.0,0,0.0,0,0.0,0,0.0,1,0.1,0.9,all_reached,DeepRare Recall@1/@3/@5 均已达标；保持 current mainline，并关注小样本方差。,high_variance
RareBench-RAMEDIS,RAMEDIS,217,171,0.7880184331797235,19,0.08755760368663594,12,0.055299539170506916,9,0.041474654377880185,3,0.013824884792626729,3,0.013824884792626729,0.9861751152073732,all_reached,DeepRare Recall@1/@3/@5 均已达标；保持 current mainline，并关注小样本方差。,
