project_dataset,num_cases,current_top1,current_top3,current_top5,current_rank_le_50,module_applied,source_result_path,checkpoint_path,config_path,is_validation_selected_fixed_test,notes
DDD,761,0.3758212877792378,0.4967148488830486,0.5400788436268068,0.7437582128777924,ddd_validation_selected_grid_rerank,D:\RareDisease-traindata\outputs\mainline_full_pipeline\stage5_ddd_rerank\ddd_val_selected_grid_weights.json,D:\RareDisease-traindata\outputs\mainline_full_pipeline\stage2_finetune\checkpoints\best.pt,D:\RareDisease-traindata\outputs\mainline_full_pipeline\configs\stage2_finetune.yaml,yes_validation_selected_fixed_test,DDD grid rerank 权重在 validation 上选择，然后在 test 上固定评估。
HMS,25,0.32,0.44,0.48,0.88,hgnn_exact_baseline,D:\RareDisease-traindata\outputs\mainline_full_pipeline\stage3_exact_eval\exact_details.csv,D:\RareDisease-traindata\outputs\mainline_full_pipeline\stage2_finetune\checkpoints\best.pt,D:\RareDisease-traindata\outputs\mainline_full_pipeline\configs\stage2_finetune.yaml,yes_fixed_mainline_test,HGNN exact baseline 来自当前固定 mainline checkpoint；没有 dataset-specific test-side tuning。
LIRICAL,59,0.5084745762711864,0.6440677966101694,0.6779661016949152,0.847457627118644,hgnn_exact_baseline,D:\RareDisease-traindata\outputs\mainline_full_pipeline\stage3_exact_eval\exact_details.csv,D:\RareDisease-traindata\outputs\mainline_full_pipeline\stage2_finetune\checkpoints\best.pt,D:\RareDisease-traindata\outputs\mainline_full_pipeline\configs\stage2_finetune.yaml,yes_fixed_mainline_test,HGNN exact baseline 来自当前固定 mainline checkpoint；没有 dataset-specific test-side tuning。
MME,10,0.9,0.9,0.9,0.9,hgnn_exact_baseline,D:\RareDisease-traindata\outputs\mainline_full_pipeline\stage3_exact_eval\exact_details.csv,D:\RareDisease-traindata\outputs\mainline_full_pipeline\stage2_finetune\checkpoints\best.pt,D:\RareDisease-traindata\outputs\mainline_full_pipeline\configs\stage2_finetune.yaml,yes_fixed_mainline_test,HGNN exact baseline 来自当前固定 mainline checkpoint；没有 dataset-specific test-side tuning。
MyGene2,33,0.8787878787878788,0.8787878787878788,0.8787878787878788,0.9696969696969696,hgnn_exact_baseline,D:\RareDisease-traindata\outputs\mainline_full_pipeline\stage3_exact_eval\exact_details.csv,D:\RareDisease-traindata\outputs\mainline_full_pipeline\stage2_finetune\checkpoints\best.pt,D:\RareDisease-traindata\outputs\mainline_full_pipeline\configs\stage2_finetune.yaml,yes_fixed_mainline_test,HGNN exact baseline 来自当前固定 mainline checkpoint；没有 dataset-specific test-side tuning。
RAMEDIS,217,0.7880184331797235,0.8755760368663594,0.9308755760368664,0.9861751152073732,hgnn_exact_baseline,D:\RareDisease-traindata\outputs\mainline_full_pipeline\stage3_exact_eval\exact_details.csv,D:\RareDisease-traindata\outputs\mainline_full_pipeline\stage2_finetune\checkpoints\best.pt,D:\RareDisease-traindata\outputs\mainline_full_pipeline\configs\stage2_finetune.yaml,yes_fixed_mainline_test,HGNN exact baseline 来自当前固定 mainline checkpoint；没有 dataset-specific test-side tuning。
mimic_test_recleaned_mondo_hpo_rows,1873,0.2092899092365189,0.3422317138280832,0.402562733582488,0.6556326748531767,similar_case_fixed_test,D:\RareDisease-traindata\outputs\mainline_full_pipeline\stage6_mimic_similar_case\similar_case_fixed_test.csv,D:\RareDisease-traindata\outputs\mainline_full_pipeline\stage2_finetune\checkpoints\best.pt,D:\RareDisease-traindata\outputs\mainline_full_pipeline\configs\stage2_finetune.yaml,yes_validation_selected_fixed_test,SimilarCase-Aug 配置在 validation 上选择，然后在 mimic test 上固定评估；这里只记录 strict exact 指标。
