bucket,count,rate
rank=1,286,0.37582128777923784
rank 2-3,92,0.12089356110381078
rank 4-5,33,0.04336399474375821
rank 6-20,112,0.1471747700394218
rank 21-50,43,0.056504599211563734
rank>50,195,0.25624178712220763
