slice,num_cases,exact_top1,exact_top3,exact_top5,rank_le_50,rank_gt50_count,candidate_augmentation_recovered_gold_count,candidate_augmentation_recovered_gold_rate,note
ALL,1873,0.191671115856914,0.2995194874532835,0.3539775760811532,0.615056059797117,721,76,0.10540915395284327,HGNN top50 baseline。
label_subset:multi_label,227,0.1277533039647577,0.2643171806167401,0.3083700440528634,0.4977973568281938,,,,"any_label@5=0.5110, any_label@50=0.7841"
label_subset:single_label,1646,0.2004860267314702,0.3043742405832321,0.3602673147023086,0.6312272174969623,,,,"any_label@5=0.3603, any_label@50=0.6312"
label_subset:ALL,1873,0.191671115856914,0.2995194874532835,0.3539775760811532,0.615056059797117,,,,"any_label@5=0.3785, any_label@50=0.6498"
