dataset,paper_dataset_name,current_cases,deeprare_paper_cases,split_mismatch,current_top1,current_top3,current_top5,deeprare_top1,deeprare_top3,deeprare_top5,gap_top1,gap_top3,gap_top5,rank_le_50_upper_bound,top50_rerank_can_reach_top1_target,top50_rerank_can_reach_top3_target,top50_rerank_can_reach_top5_target,reaches_deeprare_top1,reaches_deeprare_top3,reaches_deeprare_top5
DDD,DDD,761,2283,True,0.3022339027595269,0.4441524310118265,0.4967148488830486,0.48,0.6,0.63,-0.1777660972404731,-0.15584756898817348,-0.13328515111695138,0.7450722733245729,True,True,True,False,False,False
mimic_test,MIMIC-IV-Rare,1873,1873,False,0.191671115856914,0.2995194874532835,0.3539775760811532,0.29,0.37,0.39,-0.09832888414308599,-0.0704805125467165,-0.0360224239188468,0.615056059797117,True,True,True,False,False,False
LIRICAL,LIRICAL,59,370,True,0.5254237288135594,0.5932203389830508,0.6779661016949152,0.56,0.65,0.68,-0.03457627118644069,-0.0567796610169492,-0.0020338983050848247,0.7796610169491526,True,True,True,False,False,False
RAMEDIS,RAMEDIS,217,624,True,0.7741935483870968,0.8663594470046083,0.9308755760368664,0.71,0.83,0.85,0.06419354838709679,0.03635944700460836,0.08087557603686646,0.9907834101382488,True,True,True,True,True,True
HMS,HMS,25,88,True,0.28,0.44,0.48,0.57,0.65,0.71,-0.2899999999999999,-0.21000000000000002,-0.22999999999999998,0.72,True,True,True,False,False,False
MME,MME,10,40,True,0.9,0.9,0.9,0.78,0.85,0.9,0.12,0.050000000000000044,0.0,0.9,True,True,True,True,True,True
MyGene2,MyGene2,33,146,True,0.8484848484848485,0.8787878787878788,0.8787878787878788,0.76,0.8,0.81,0.0884848484848485,0.07878787878787874,0.06878787878787873,0.9696969696969696,True,True,True,True,True,True
