dataset,method,num_cases,top1,top3,top5,rank_le_50,median_rank,note
DDD,HGNN_AUG:exploratory_defaults_not_main_table:relaxed_not_implemented_exact_only,761,0.3600525624178712,0.4783180026281209,0.5256241787122208,0.7739816031537451,4.0,Relaxed/synonym/parent-child evaluation is supplementary only and requires mapping validation.
HMS,HGNN_AUG:exploratory_defaults_not_main_table:relaxed_not_implemented_exact_only,25,0.28,0.44,0.56,0.72,5.0,Relaxed/synonym/parent-child evaluation is supplementary only and requires mapping validation.
LIRICAL,HGNN_AUG:exploratory_defaults_not_main_table:relaxed_not_implemented_exact_only,59,0.559322033898305,0.6949152542372882,0.711864406779661,0.864406779661017,1.0,Relaxed/synonym/parent-child evaluation is supplementary only and requires mapping validation.
MME,HGNN_AUG:exploratory_defaults_not_main_table:relaxed_not_implemented_exact_only,10,0.9,0.9,0.9,0.9,1.0,Relaxed/synonym/parent-child evaluation is supplementary only and requires mapping validation.
MyGene2,HGNN_AUG:exploratory_defaults_not_main_table:relaxed_not_implemented_exact_only,33,0.8181818181818182,0.9090909090909091,0.9090909090909091,0.9696969696969697,1.0,Relaxed/synonym/parent-child evaluation is supplementary only and requires mapping validation.
RAMEDIS,HGNN_AUG:exploratory_defaults_not_main_table:relaxed_not_implemented_exact_only,217,0.8110599078341014,0.9124423963133641,0.9354838709677419,0.9953917050691244,1.0,Relaxed/synonym/parent-child evaluation is supplementary only and requires mapping validation.
mimic_test,HGNN_AUG:exploratory_defaults_not_main_table:relaxed_not_implemented_exact_only,1873,0.196476241324079,0.3187399893219434,0.3710624666310731,0.6497597437266418,18.0,Relaxed/synonym/parent-child evaluation is supplementary only and requires mapping validation.
