dataset_name,old_source_file,current_source_file,old_top1,current_exact_top1,current_final_top1,delta_final_vs_old_top1,old_top3,current_exact_top3,current_final_top3,delta_final_vs_old_top3,old_top5,current_exact_top5,current_final_top5,delta_final_vs_old_top5,checkpoint_same_as_old,old_checkpoint_path,current_checkpoint_path,data_config_same_as_old,old_data_config_path,current_data_config_path,test_file_same_path,old_test_file,current_test_file,old_test_file_sha256,current_test_file_sha256,module_applied_current_final,source_result_path_current_final,uses_rerank_or_candidate_file,checkpoint_drift,old_case_count,current_case_count,case_id_set_equal,case_id_overlap,old_only_case_count,current_only_case_count,label_mismatch_count,rank_changed_case_count,label_rows_identical_for_overlap,hpo_rows_audit
DDD,DDD.csv,DDD.csv,0.3193166885676741,0.31011826544021026,0.3745072273324573,0.05519053876478319,0.4480946123521682,0.4296977660972405,0.48620236530880423,0.03810775295663604,0.507227332457293,0.47174770039421815,0.5269382391590013,0.019710906701708275,False,D:\RareDisease-traindata\outputs\case_noise_ablation\g4b_weighting_idf\checkpoints\best.pt,D:\RareDisease-traindata\outputs\attn_beta_sweep\edge_log_beta02\checkpoints\best.pt,True,D:\RareDisease-traindata\configs\data_llldataset_eval.yaml,D:\RareDisease-traindata\configs\data_llldataset_eval.yaml,True,D:\RareDisease-traindata\LLLdataset\dataset\processed\test\DDD.csv,D:\RareDisease-traindata\LLLdataset\dataset\processed\test\DDD.csv,efbf3bae8891eda406438f8b533cff13072694f5489c22431c54f9a5e35102b1,efbf3bae8891eda406438f8b533cff13072694f5489c22431c54f9a5e35102b1,ddd_validation_selected_grid_rerank,D:\RareDisease-traindata\outputs\rerank\ddd_val_selected_grid_weights.json,True,True,761,761,True,761,0,0,0,523,True,same test file path; historical row hash unavailable
HMS,HMS.xlsx,HMS.xlsx,0.32,0.4,0.4,0.08000000000000002,0.4,0.44,0.44,0.03999999999999998,0.48,0.6,0.6,0.12,False,D:\RareDisease-traindata\outputs\case_noise_ablation\g4b_weighting_idf\checkpoints\best.pt,D:\RareDisease-traindata\outputs\attn_beta_sweep\edge_log_beta02\checkpoints\best.pt,True,D:\RareDisease-traindata\configs\data_llldataset_eval.yaml,D:\RareDisease-traindata\configs\data_llldataset_eval.yaml,True,D:\RareDisease-traindata\LLLdataset\dataset\processed\test\HMS.xlsx,D:\RareDisease-traindata\LLLdataset\dataset\processed\test\HMS.xlsx,735c8ffeec4fd1e5688d022be88a3fc56d02d53eefc987702e07072d51e0e397,735c8ffeec4fd1e5688d022be88a3fc56d02d53eefc987702e07072d51e0e397,hgnn_baseline,D:\RareDisease-traindata\outputs\rerank\top50_rerank_case_ranks.csv,True,True,25,25,True,25,0,0,0,18,True,same test file path; historical row hash unavailable
LIRICAL,LIRICAL.xlsx,LIRICAL.xlsx,0.5423728813559322,0.4576271186440678,0.4576271186440678,-0.0847457627118644,0.6271186440677966,0.5254237288135594,0.5254237288135594,-0.10169491525423724,0.6610169491525424,0.5254237288135594,0.5254237288135594,-0.13559322033898302,False,D:\RareDisease-traindata\outputs\case_noise_ablation\g4b_weighting_idf\checkpoints\best.pt,D:\RareDisease-traindata\outputs\attn_beta_sweep\edge_log_beta02\checkpoints\best.pt,True,D:\RareDisease-traindata\configs\data_llldataset_eval.yaml,D:\RareDisease-traindata\configs\data_llldataset_eval.yaml,True,D:\RareDisease-traindata\LLLdataset\dataset\processed\test\LIRICAL.xlsx,D:\RareDisease-traindata\LLLdataset\dataset\processed\test\LIRICAL.xlsx,83cfa485f19713fc818dadb1101a3b169d523587365a6b501803648fee0362a6,83cfa485f19713fc818dadb1101a3b169d523587365a6b501803648fee0362a6,hgnn_baseline,D:\RareDisease-traindata\outputs\rerank\top50_rerank_case_ranks.csv,True,True,59,59,True,59,0,0,0,34,True,same test file path; historical row hash unavailable
MME,MME.xlsx,MME.xlsx,0.9,0.8,0.8,-0.09999999999999998,0.9,0.8,0.8,-0.09999999999999998,0.9,0.8,0.8,-0.09999999999999998,False,D:\RareDisease-traindata\outputs\case_noise_ablation\g4b_weighting_idf\checkpoints\best.pt,D:\RareDisease-traindata\outputs\attn_beta_sweep\edge_log_beta02\checkpoints\best.pt,True,D:\RareDisease-traindata\configs\data_llldataset_eval.yaml,D:\RareDisease-traindata\configs\data_llldataset_eval.yaml,True,D:\RareDisease-traindata\LLLdataset\dataset\processed\test\MME.xlsx,D:\RareDisease-traindata\LLLdataset\dataset\processed\test\MME.xlsx,9d6ccf2ce40310e88e66c287274a32e6ad18f92587b3d01fffd7f28067abbab0,9d6ccf2ce40310e88e66c287274a32e6ad18f92587b3d01fffd7f28067abbab0,hgnn_baseline,D:\RareDisease-traindata\outputs\rerank\top50_rerank_case_ranks.csv,True,True,10,10,True,10,0,0,0,2,True,same test file path; historical row hash unavailable
MyGene2,MyGene2.xlsx,MyGene2.xlsx,0.8484848484848485,0.8484848484848485,0.8484848484848485,0.0,0.8787878787878788,0.8787878787878788,0.8787878787878788,0.0,0.8787878787878788,0.9090909090909091,0.9090909090909091,0.030303030303030276,False,D:\RareDisease-traindata\outputs\case_noise_ablation\g4b_weighting_idf\checkpoints\best.pt,D:\RareDisease-traindata\outputs\attn_beta_sweep\edge_log_beta02\checkpoints\best.pt,True,D:\RareDisease-traindata\configs\data_llldataset_eval.yaml,D:\RareDisease-traindata\configs\data_llldataset_eval.yaml,True,D:\RareDisease-traindata\LLLdataset\dataset\processed\test\MyGene2.xlsx,D:\RareDisease-traindata\LLLdataset\dataset\processed\test\MyGene2.xlsx,2024d920410c80b6a15228ec9ba6cdc7cbe45b991c734305a7a35a5fd91ee7ed,2024d920410c80b6a15228ec9ba6cdc7cbe45b991c734305a7a35a5fd91ee7ed,hgnn_baseline,D:\RareDisease-traindata\outputs\rerank\top50_rerank_case_ranks.csv,True,True,33,33,True,33,0,0,0,6,True,same test file path; historical row hash unavailable
RAMEDIS,RAMEDIS.xlsx,RAMEDIS.xlsx,0.7880184331797235,0.7695852534562212,0.7695852534562212,-0.018433179723502335,0.8847926267281107,0.8387096774193549,0.8387096774193549,-0.04608294930875578,0.9262672811059908,0.8847926267281107,0.8847926267281107,-0.041474654377880116,False,D:\RareDisease-traindata\outputs\case_noise_ablation\g4b_weighting_idf\checkpoints\best.pt,D:\RareDisease-traindata\outputs\attn_beta_sweep\edge_log_beta02\checkpoints\best.pt,True,D:\RareDisease-traindata\configs\data_llldataset_eval.yaml,D:\RareDisease-traindata\configs\data_llldataset_eval.yaml,True,D:\RareDisease-traindata\LLLdataset\dataset\processed\test\RAMEDIS.xlsx,D:\RareDisease-traindata\LLLdataset\dataset\processed\test\RAMEDIS.xlsx,61438ccecb1b9fb8d3352ceec0b4ec2b3bd2334a0f77947cae8c0fb4ac3ef980,61438ccecb1b9fb8d3352ceec0b4ec2b3bd2334a0f77947cae8c0fb4ac3ef980,hgnn_baseline,D:\RareDisease-traindata\outputs\rerank\top50_rerank_case_ranks.csv,True,True,217,217,True,217,0,0,0,47,True,same test file path; historical row hash unavailable
mimic_test,mimic_test.csv,,0.18366257341163908,,,,0.2856380138814736,,,,0.3352909770421783,,,,False,D:\RareDisease-traindata\outputs\case_noise_ablation\g4b_weighting_idf\checkpoints\best.pt,D:\RareDisease-traindata\outputs\attn_beta_sweep\edge_log_beta02\checkpoints\best.pt,True,D:\RareDisease-traindata\configs\data_llldataset_eval.yaml,D:\RareDisease-traindata\configs\data_llldataset_eval.yaml,False,D:\RareDisease-traindata\LLLdataset\dataset\processed\test\mimic_test.csv,,missing,,,,False,True,1873,0,False,0,1873,0,0,0,True,different test file path
mimic_test_recleaned_mondo_hpo_rows,,mimic_test_recleaned_mondo_hpo_rows.csv,,0.1575013347570742,0.1575013347570742,,,0.24345969033635878,0.24345969033635878,,,0.2984516817939135,0.2984516817939135,,False,D:\RareDisease-traindata\outputs\case_noise_ablation\g4b_weighting_idf\checkpoints\best.pt,D:\RareDisease-traindata\outputs\attn_beta_sweep\edge_log_beta02\checkpoints\best.pt,True,D:\RareDisease-traindata\configs\data_llldataset_eval.yaml,D:\RareDisease-traindata\configs\data_llldataset_eval.yaml,False,,D:\RareDisease-traindata\LLLdataset\dataset\processed\test\mimic_test_recleaned_mondo_hpo_rows.csv,,7dd6c4591603bcc2696e798e82b94ea8458cb32ed95cf8a8a00b8dee33948cc4,hgnn_baseline,D:\RareDisease-traindata\outputs\rerank\top50_rerank_case_ranks.csv,True,True,0,1873,False,0,0,1873,0,0,True,different test file path
